Date,Minimum temperature (C),Maximum temperature (C),Rainfall (mm),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
6/10/22,13.8,18.3,38,ENE,28,2:37,15.7,93,8,NE,13,1024,16.3,92,7,NE,13,1020.9
7/10/22,13.2,22.6,3.8,NNE,30,12:11,17.1,85,0,NNE,7,1016.9,20.5,70,8,N,15,1014.2
8/10/22,14.7,23.3,5.4,ESE,31,17:33,16.9,92,2,WNW,9,1015.3,19.1,87,8,SE,19,1013.9
9/10/22,10.6,17.2,56.6,SW,31,9:49,11.6,80,8,SW,13,1020.7,16.7,55,8,SSW,11,1020.5
10/10/22,9.9,17.3,0.2,ESE,30,14:02,13.6,78,7,S,9,1027.5,16.4,57,8,ESE,17,1025.5
11/10/22,11.9,19.2,0,ESE,30,10:55,15.1,80,8,NA,0,1025.9,18.8,55,8,ENE,19,1023.3
12/10/22,11.2,20,0,ENE,35,16:18,15.3,77,8,WSW,4,1024.1,18.9,65,8,NE,20,1022.2
13/10/22,12.2,21.7,0,NE,44,18:17,16.7,77,8,NA,0,1021.5,20.7,59,8,NE,22,1017
14/10/22,16,24.8,0.2,W,48,11:26,20.2,71,8,N,13,1007.7,23.3,29,2,WSW,20,1010.6
15/10/22,9.1,23.6,0.2,ESE,33,13:53,17.4,53,0,WSW,15,1019.4,22.5,41,0,E,22,1016.7
16/10/22,12.3,22.8,0,ESE,35,13:26,17.7,52,3,SW,9,1019.7,22,49,1,SE,22,1017
17/10/22,14.9,21.2,0,SE,35,9:30,16.9,72,8,SSE,24,1022.5,20.1,54,4,SE,24,1021.1
18/10/22,11.4,19.8,0,E,26,11:27,18.6,66,8,E,11,1022.2,18.9,75,8,ENE,9,1019.4
19/10/22,15.7,26.6,1.6,ESE,37,13:34,17.7,88,8,NW,7,1018.1,22.9,61,0,ESE,28,1015.8
20/10/22,15.8,23.2,0.2,ESE,28,12:57,20.1,85,8,SSE,13,1017.5,20.9,83,8,E,13,1015.1
21/10/22,18.8,23.7,1.4,ENE,31,14:00,20.6,84,8,NE,11,1015.3,21.6,80,7,ENE,20,1012.1
22/10/22,17.4,26.3,1.4,NE,41,15:52,20.6,75,1,NNE,13,1013.3,24.3,66,8,ENE,19,1010.1
23/10/22,18.8,22.2,0,N,35,12:28,20.1,81,8,E,9,1013.7,19.4,85,8,SSE,22,1012.9
24/10/22,16,20.7,13,ENE,43,1:34,18.2,98,8,SE,17,1012.7,19,94,8,SW,17,1007.1
25/10/22,17.2,27.6,23.2,NNW,52,15:00,18.7,92,8,NNW,9,1005.2,27.2,51,0,N,9,1001.3
26/10/22,14.9,28.6,8.2,NW,43,16:25,21.9,73,0,S,7,1001.9,27.3,37,8,WNW,15,999.8
27/10/22,13.9,28,0,WNW,44,15:40,23.1,49,8,WNW,19,1002.1,24.9,46,8,NNE,13,999.5
28/10/22,14.7,24.9,0.2,WNW,52,16:46,20.3,43,0,WNW,22,1003.1,24.5,26,0,W,26,1000.6
29/10/22,15.3,26.3,0,WNW,39,10:00,19.3,40,0,W,17,1005.1,25.6,27,0,NNW,9,1003.1
30/10/22,10.6,24.2,0,NE,33,13:19,18.3,45,0,SW,15,1011.4,22.8,40,0,ENE,24,1008.6
31/10/22,15.1,29.4,0,WNW,52,11:47,22.6,46,8,N,15,1002.5,25.4,61,8,NA,0,996.3
1/11/22,18.2,23.2,5.6,WNW,56,15:08,20.2,45,1,WNW,19,993.1,22.6,35,0,WNW,24,992.1
2/11/22,10.5,19.6,0,W,57,7:47,14.3,36,0,W,31,1002.7,18.8,30,1,WSW,24,1006
3/11/22,9.2,22.1,0,W,43,7:12,16.9,49,0,WSW,20,1014.9,19.3,43,4,SE,19,1016.5
4/11/22,11.7,20.3,0,ESE,30,14:55,17.1,65,8,NA,0,1026.8,19.1,57,8,E,19,1026.5
5/11/22,10.6,23.7,0,E,35,14:30,18.6,68,1,W,6,1029.7,21.2,53,8,NA,0,1026.5
6/11/22,10.8,25.5,0,ENE,37,15:46,18.8,66,0,W,9,1026.7,23.8,45,0,ENE,20,1022.7
7/11/22,12.1,25.1,0,ENE,39,14:23,19.2,70,7,N,4,1023.5,23.8,50,0,ENE,28,1020
8/11/22,14.7,24.8,0,ENE,35,15:44,19.9,62,8,NNE,9,1021.5,23.2,45,5,NE,19,1019.6
9/11/22,12.6,24.6,0,ENE,41,13:47,19.7,64,5,NNW,6,1023.1,23.5,40,0,ENE,22,1021.3
10/11/22,12.2,24,0.6,ENE,39,13:04,19,65,4,NA,0,1023,23.5,46,1,ENE,20,1018.6
11/11/22,12.3,27,0,ENE,30,12:58,19.4,56,0,N,7,1015.3,24.9,48,8,NE,15,1011
12/11/22,14.2,27.3,0,SE,37,13:05,22.1,62,0,NNW,7,1012.1,26,53,0,ESE,28,1010.6
13/11/22,17,27.4,0,N,48,15:51,20.8,79,4,WNW,7,1010.5,26.4,57,5,N,20,1004.5
14/11/22,18.2,27.7,32.4,W,59,12:20,21.7,59,0,WNW,11,1001.3,26.6,34,0,WNW,33,1000.8
15/11/22,13.2,24.2,0,SSE,31,13:27,20.6,52,0,S,11,1008.4,22.8,52,8,ESE,15,1005.5
16/11/22,9.9,20.4,0,W,52,12:39,16.1,42,0,WSW,19,1010.2,16.2,47,8,W,19,1009.6
17/11/22,8.5,20.4,5.2,SE,37,15:23,15.4,59,0,SW,17,1015.3,19.6,46,0,SE,24,1013.2
18/11/22,10.3,22,0.2,ESE,35,14:36,16.7,51,0,SSW,15,1016.5,20.8,48,6,SE,24,1013.4
19/11/22,10.5,25,0,ESE,37,12:48,18.8,63,5,NNE,11,1012.1,23.6,54,0,ENE,24,1005.2
20/11/22,17,26.7,1.2,WNW,72,11:04,24.9,37,0,WNW,26,996.1,25.9,23,0,WNW,28,998.9
21/11/22,17.3,23.3,0,WNW,69,8:54,22.2,31,0,WNW,24,1002.8,21.7,33,0,W,33,1002.9
22/11/22,10.8,22.8,0,WSW,52,8:00,14.8,36,0,WSW,24,1013.2,22.1,28,0,WSW,20,1011.3
23/11/22,12.6,27.7,0,W,46,9:38,19,47,0,WNW,17,1014.5,26.9,29,0,WSW,13,1012.3
24/11/22,13.1,26.3,0,SE,39,14:43,20.7,48,0,WSW,9,1018.5,24.3,43,0,SE,28,1016
25/11/22,14.7,26.6,0,SSE,39,14:58,20.9,64,0,N,6,1018.2,24.4,50,0,ESE,24,1014.7
26/11/22,16,23.5,0,ESE,37,14:32,20.1,59,8,S,13,1015.9,22.7,49,0,ESE,22,1011.9
27/11/22,15.8,30.3,0,W,33,18:30,19.1,68,8,NNW,4,1005,29.8,45,1,E,11,1000.6
28/11/22,17.1,23.8,12.2,SE,35,23:27,19.4,75,8,SSE,7,1006.9,21.6,62,8,ESE,24,1005.1
29/11/22,13.8,24.8,0,SE,50,14:02,20.3,39,0,SW,20,1011.7,22.6,44,0,SSE,30,1012.7
30/11/22,15.8,21.1,0,ENE,31,15:46,18.3,59,8,E,11,1019.3,19.8,54,8,ENE,17,1016.5
1/12/22,15.8,22.6,0,ESE,31,14:30,19.8,60,8,ESE,13,1016.9,21,48,6,ESE,19,1014.9
2/12/22,13.5,23.4,0,SE,37,12:47,19.4,64,8,SSE,15,1017.4,21.8,51,8,SE,19,1016.3
3/12/22,12.8,24.9,0,ENE,39,14:50,19.9,62,0,WNW,6,1019.3,23.7,49,3,ESE,20,1016.4
4/12/22,13.6,26.6,0,ENE,41,16:44,20.7,64,6,NNW,9,1017.4,25.3,42,0,ENE,20,1013.4
5/12/22,14.4,34.5,0,NNE,39,17:05,21.9,60,0,NNW,9,1009,34.3,28,0,WSW,9,1002.5
6/12/22,16.1,24.2,8.8,SE,44,14:26,20.5,65,0,SW,7,1007.5,23.4,46,0,ESE,28,1006.2
7/12/22,14.1,27.7,0,NW,33,13:53,20.9,62,0,NW,9,1006.1,27.2,19,7,WNW,24,1002.7
8/12/22,16.2,23.3,0,SE,43,13:46,20.4,32,0,SW,17,1006.2,21.4,43,1,SE,30,1006.4
9/12/22,11.7,21.3,0,SE,41,13:50,16.9,54,8,SW,7,1014.4,19.9,40,0,ESE,24,1013.1
10/12/22,14.9,22.7,0,E,33,15:07,18.6,54,6,SW,11,1019.2,21.5,47,4,ESE,15,1016.2
11/12/22,12.5,31,0,ENE,39,16:01,20.7,61,0,N,9,1013.1,29.4,38,0,ENE,20,1007.2
12/12/22,19.8,31,0,WNW,54,15:38,30.4,38,0,N,26,998.3,26.7,36,6,WNW,24,998.2
